"The data shown here is provided by Statistics Canada from the 2006 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2006, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2006,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
     West Central Asia and the Middle East , 45 , 475 , 10 , 65 , 50 , 85 , 30 , 25 , 65 , 130 , 90 , 180 , 35 , 55 , 50 , 25 , 40 , -   , 240 , 115 , 585 , 30 ," 2,445 "," 11,815 "
     Eastern Asia ," 2,055 "," 1,450 ", 625 , 330 , 505 ," 1,010 "," 1,325 "," 1,365 "," 1,420 ", 395 ," 2,220 ", 340 ," 1,210 "," 2,400 ", 505 , 190 , 115 , 725 , 555 ," 1,465 "," 1,080 ", 140 ," 21,400 "," 63,600 "
"       China, People's Republic of "," 1,310 ", 625 , 320 , 105 , 460 , 825 ," 1,200 ", 885 ," 1,170 ", 150 ," 1,960 ", 260 , 815 ," 2,120 ", 400 , 110 , 35 , 710 , 475 ," 1,345 ", 335 , 50 ," 15,670 "," 39,790 "
"       Hong Kong, Special Administrative Region ", 125 , 185 , -   , 30 , 10 , 105 , 35 , 30 , 50 , 15 , 85 , 20 , 95 , 95 , 15 , 10 , -   , 15 , 20 , 70 , 55 , -   ," 1,080 "," 2,875 "
       Other Eastern Asia , 615 , 635 , 305 , 200 , 40 , 80 , 85 , 440 , 200 , 225 , 175 , 55 , 300 , 185 , 85 , 70 , 80 , -   , 60 , 50 , 690 , 90 ," 4,650 "," 20,930 "
     Southeast Asia , 110 , 165 , 80 , 125 , 275 , 385 ," 1,200 ", 35 , 205 , 55 , 280 , 565 , 60 ," 1,355 ", 300 , 95 , 25 , 10 ," 1,015 ", 380 , 170 , 10 ," 6,880 "," 20,700 "
       Philippines , 10 , 95 , 30 , 85 , 205 , 250 , 905 , 35 , 150 , -   , 230 , 465 , 40 ," 1,105 ", 260 , 60 , 10 , -   , 960 , 330 , 85 , 10 ," 5,320 "," 16,460 "
       Other Southeast Asia , 105 , 65 , 50 , 35 , 75 , 130 , 295 , -   , 55 , 45 , 50 , 95 , 15 , 250 , 35 , 40 , 15 , 15 , 55 , 50 , 85 , -   ," 1,555 "," 4,240 "
     Southern Asia , 25 , 35 , 10 , 25 , 30 , 55 , 260 , 20 , 20 , 15 , 35 , 125 , 20 , 255 , 15 , -   , -   , 10 ," 1,855 ", 160 , 30 , -   ," 3,010 "," 22,435 "
       India , 20 , 35 , 10 , 25 , 10 , 30 , 110 , 15 , 20 , 10 , 15 , 25 , 20 , 180 , -   , -   , -   , -   ," 1,370 ", 155 , 15 , -   ," 2,085 "," 18,770 "
       Other Southern Asia , -   , 10 , -   , -   , 20 , 25 , 145 , -   , -   , -   , 20 , 100 , -   , 75 , 10 , -   , -   , 10 , 485 , -   , 15 , -   , 925 ," 3,665 "
   Oceania and other , -   , 65 , 10 , 50 , 25 , 30 , 20 , 10 , -   , 95 , 10 , 30 , 10 , 40 , 30 , -   , 45 , 10 , 30 , 25 , 85 , 10 , 615 ," 2,995 "
 Total immigrant population by period of immigration ," 8,265 "," 16,725 "," 6,955 "," 8,705 "," 8,975 "," 16,855 "," 24,310 "," 6,520 "," 15,340 "," 10,695 "," 13,610 "," 8,400 "," 7,715 "," 29,550 "," 8,830 "," 3,355 "," 2,595 "," 5,315 "," 21,415 "," 17,965 "," 14,940 "," 3,995 "," 260,760 "," 831,265 "
   Before 1961 , 600 , 700 , 765 , 760 , 940 ," 1,670 "," 1,420 ", 505 , 760 ," 1,465 ", 440 , 480 , 380 ," 1,435 ", 675 , 385 , 295 , 305 ," 1,110 "," 1,015 "," 1,480 ", 560 ," 18,125 "," 63,660 "
   1961 to 1970 , 735 ," 1,100 ", 965 , 965 , 990 ," 1,390 "," 1,655 ", 520 ," 1,020 "," 1,750 ", 790 , 525 , 580 ," 1,995 "," 1,015 ", 370 , 250 , 380 ," 1,545 "," 1,385 "," 1,635 ", 615 ," 22,150 "," 69,385 "
   1971 to 1980 , 910 ," 2,545 "," 1,205 "," 1,525 "," 1,695 "," 3,255 "," 4,405 ", 730 ," 2,420 "," 1,750 "," 1,715 "," 1,280 "," 1,000 "," 5,120 "," 1,665 ", 640 , 535 ," 1,030 "," 3,160 "," 2,905 "," 2,080 ", 845 ," 42,415 "," 119,670 "
   1981 to 1990 , 905 ," 2,570 ", 905 ," 1,435 "," 1,725 "," 3,585 "," 5,330 ", 935 ," 3,230 "," 1,510 "," 1,970 "," 1,605 "," 1,450 "," 6,645 "," 1,585 ", 415 , 435 ," 1,235 "," 3,950 "," 3,750 "," 1,975 ", 500 ," 47,600 "," 136,025 "
   1991 to 2000 ," 2,730 "," 6,435 "," 2,105 "," 2,740 "," 2,280 "," 5,180 "," 8,300 "," 2,150 "," 5,765 "," 2,630 "," 5,515 "," 2,825 "," 2,840 "," 9,895 "," 2,715 "," 1,160 ", 810 ," 1,535 "," 7,690 "," 6,520 "," 4,090 "," 1,130 "," 87,000 "," 290,830 "
     1991 to 1995 ," 1,175 "," 2,460 ", 875 ," 1,240 "," 1,295 "," 3,135 "," 4,650 "," 1,020 "," 2,950 "," 1,180 "," 2,265 "," 1,410 "," 1,285 "," 6,010 "," 1,540 ", 715 , 395 , 935 ," 4,245 "," 3,325 "," 1,805 ", 525 ," 44,415 "," 142,135 "
     1996 to 2000 ," 1,550 "," 3,970 "," 1,225 "," 1,500 ", 985 ," 2,045 "," 3,650 "," 1,125 "," 2,810 "," 1,450 "," 3,245 "," 1,410 "," 1,560 "," 3,890 "," 1,170 ", 445 , 415 , 605 ," 3,445 "," 3,200 "," 2,280 ", 600 ," 42,580 "," 148,700 "
   2001 to 2006 ," 2,380 "," 3,375 "," 1,010 "," 1,280 "," 1,340 "," 1,765 "," 3,195 "," 1,665 "," 2,155 "," 1,585 "," 3,175 "," 1,690 "," 1,465 "," 4,460 "," 1,160 ", 380 , 265 , 830 ," 3,955 "," 2,395 "," 3,680 ", 350 ," 43,470 "," 151,695 "
 Total immigrant population by age at immigration ," 8,265 "," 16,725 "," 6,955 "," 8,710 "," 8,975 "," 16,855 "," 24,310 "," 6,520 "," 15,340 "," 10,690 "," 13,610 "," 8,400 "," 7,715 "," 29,555 "," 8,825 "," 3,355 "," 2,600 "," 5,315 "," 21,410 "," 17,965 "," 14,940 "," 4,000 "," 260,755 "," 831,265 "
   Under 5 years , 575 ," 1,100 ", 615 , 690 , 690 ," 1,060 "," 1,395 ", 375 ," 1,015 "," 1,165 ", 725 , 585 , 335 ," 1,590 ", 615 , 235 , 230 , 240 ," 1,145 "," 1,090 ", 890 , 320 ," 16,665 "," 59,885 "
   5 to 14 years ," 1,820 "," 3,105 "," 1,300 "," 1,555 "," 1,330 "," 2,535 "," 3,245 "," 1,405 "," 2,630 "," 2,130 "," 2,685 "," 1,185 "," 1,520 "," 4,460 "," 1,395 ", 700 , 505 , 535 ," 2,820 "," 2,850 "," 2,140 ", 680 ," 42,485 "," 142,270 "
   15 to 24 years ," 1,155 "," 3,415 "," 1,400 "," 1,610 "," 1,935 "," 3,855 "," 5,440 "," 1,120 "," 3,070 "," 2,160 "," 2,285 "," 1,450 "," 1,395 "," 6,835 "," 1,690 ", 710 , 510 , 765 ," 5,715 "," 4,255 "," 2,970 ", 755 ," 54,450 "," 179,825 "
   25 to 44 years ," 3,755 "," 6,410 "," 2,960 "," 3,950 "," 3,885 "," 6,890 "," 10,860 "," 2,775 "," 6,525 "," 4,560 "," 6,460 "," 4,260 "," 3,165 "," 12,480 "," 3,850 "," 1,350 "," 1,025 "," 1,875 "," 8,190 "," 6,910 "," 7,505 "," 1,875 "," 111,410 "," 339,675 "
   45 years and over , 960 ," 2,690 ", 680 , 895 ," 1,135 "," 2,520 "," 3,375 ", 835 ," 2,100 ", 675 ," 1,445 ", 920 ," 1,295 "," 4,190 "," 1,280 ", 360 , 325 ," 1,900 "," 3,540 "," 2,860 "," 1,440 ", 360 ," 35,745 "," 109,610 "
 Total population 15 years and older by generation status ," 13,505 "," 39,625 "," 17,420 "," 26,425 "," 24,500 "," 27,780 "," 37,080 "," 12,450 "," 22,650 "," 36,550 "," 20,080 "," 20,775 "," 10,930 "," 41,050 "," 18,265 "," 7,455 "," 5,755 "," 10,115 "," 28,815 "," 24,510 "," 42,195 "," 11,000 "," 497,830 "," 1,752,390 "
   1st generation ," 7,825 "," 19,050 "," 6,890 "," 9,450 "," 9,410 "," 16,845 "," 24,500 "," 6,400 "," 15,035 "," 11,995 "," 13,200 "," 8,675 "," 7,620 "," 30,075 "," 8,980 "," 3,430 "," 2,695 "," 5,375 "," 21,010 "," 17,530 "," 19,275 "," 4,370 "," 269,375 "," 826,935 "
   2nd generation ," 2,900 "," 7,565 "," 4,335 "," 6,340 "," 5,475 "," 6,080 "," 7,315 "," 2,590 "," 4,275 "," 9,470 "," 3,230 "," 4,410 "," 1,960 "," 7,260 "," 4,330 "," 1,770 "," 1,425 "," 1,680 "," 5,330 "," 4,880 "," 8,055 "," 2,810 "," 103,305 "," 372,870 "
   3rd generation or more ," 2,775 "," 13,010 "," 6,190 "," 10,635 "," 9,615 "," 4,860 "," 5,265 "," 3,455 "," 3,335 "," 15,085 "," 3,655 "," 7,690 "," 1,350 "," 3,720 "," 4,960 "," 2,250 "," 1,635 "," 3,060 "," 2,475 "," 2,095 "," 14,865 "," 3,820 "," 125,155 "," 552,580 "
 Total population by Aboriginal and non-Aboriginal identity population ," 15,835 "," 42,580 "," 21,320 "," 28,490 "," 27,945 "," 33,000 "," 44,315 "," 14,620 "," 26,845 "," 40,385 "," 23,255 "," 23,300 "," 12,535 "," 48,655 "," 21,640 "," 8,720 "," 6,825 "," 11,290 "," 35,305 "," 28,790 "," 44,320 "," 12,990 "," 571,600 "," 2,097,960 "
   Total Aboriginal identity population , 65 ," 1,380 ", 785 , 360 ," 2,570 ", 755 , 805 , 80 , 245 , 480 , 245 , 865 , 35 , 655 , 255 , 25 , 35 , 740 , 365 , 225 , 665 , 100 ," 11,145 "," 40,310 "
     North American Indian single response , 15 , 945 , 685 , 195 ," 2,060 ", 415 , 565 , 75 , 175 , 255 , 175 , 555 , 30 , 395 , 170 , 10 , -   , 565 , 255 , 155 , 360 , 40 ," 7,510 "," 23,515 "
     Métis single response , 25 , 380 , 85 , 145 , 475 , 300 , 220 , -   , 65 , 215 , 60 , 285 , 10 , 250 , 80 , 10 , 20 , 160 , 60 , 65 , 270 , 50 ," 3,235 "," 15,075 "
     Inuit single response , -   , 10 , -   , 10 , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , 10 , 10 , -   , -   , -   , -   , 40 , 215 
     Multiple Aboriginal identity responses , -   , 10 , -   , -   , 15 , 15 , -   , -   , -   , 10 , -   , -   , -   , -   , 10 , -   , -   , -   , 40 , -   , 20 , 10 , 140 , 520 
     Aboriginal responses not included elsewhere , 25 , 40 , 10 , -   , 15 , 25 , 20 , -   , 10 , -   , -   , 20 , -   , 10 , -   , -   , -   , 10 , -   , -   , 15 , -   , 210 , 990 
   Non-Aboriginal identity population ," 15,765 "," 41,195 "," 20,535 "," 28,125 "," 25,375 "," 32,245 "," 43,510 "," 14,540 "," 26,600 "," 39,905 "," 23,005 "," 22,435 "," 12,495 "," 48,005 "," 21,385 "," 8,695 "," 6,795 "," 10,545 "," 34,945 "," 28,565 "," 43,650 "," 12,890 "," 560,455 "," 2,057,655 "
 Total population by Registered Indian status ," 15,835 "," 42,580 "," 21,320 "," 28,490 "," 27,945 "," 33,000 "," 44,315 "," 14,625 "," 26,845 "," 40,385 "," 23,255 "," 23,300 "," 12,535 "," 48,655 "," 21,640 "," 8,715 "," 6,825 "," 11,290 "," 35,305 "," 28,795 "," 44,320 "," 12,995 "," 571,600 "," 2,097,965 "
   Registered Indian , 10 , 760 , 655 , 135 ," 1,815 ", 385 , 450 , 10 , 130 , 170 , 150 , 485 , 25 , 360 , 100 , 10 , -   , 410 , 270 , 75 , 305 , 25 ," 6,150 "," 17,845 "
   Not a Registered Indian ," 15,820 "," 41,820 "," 20,660 "," 28,355 "," 26,125 "," 32,615 "," 43,865 "," 14,615 "," 26,710 "," 40,215 "," 23,105 "," 22,810 "," 12,510 "," 48,295 "," 21,540 "," 8,710 "," 6,820 "," 10,875 "," 35,040 "," 28,715 "," 44,020 "," 12,965 "," 565,450 "," 2,080,115 "
 Total population 15 years and over by labour force activity ," 13,505 "," 39,630 "," 17,420 "," 26,425 "," 24,500 "," 27,780 "," 37,080 "," 12,450 "," 22,645 "," 36,550 "," 20,080 "," 20,775 "," 10,930 "," 41,045 "," 18,260 "," 7,455 "," 5,750 "," 10,115 "," 28,815 "," 24,510 "," 42,200 "," 11,000 "," 497,830 "," 1,752,385 "
   In the labour force ," 7,055 "," 27,320 "," 11,145 "," 20,175 "," 17,620 "," 17,550 "," 25,195 "," 7,390 "," 13,970 "," 28,340 "," 12,730 "," 15,705 "," 5,465 "," 25,710 "," 12,475 "," 4,495 "," 4,120 "," 4,685 "," 18,375 "," 14,675 "," 29,540 "," 7,315 "," 330,485 "," 1,169,720 "
     Employed ," 6,705 "," 25,730 "," 10,570 "," 19,295 "," 16,240 "," 16,380 "," 23,325 "," 6,935 "," 13,120 "," 27,160 "," 11,865 "," 14,835 "," 5,095 "," 24,020 "," 11,745 "," 4,220 "," 3,925 "," 4,160 "," 17,290 "," 13,755 "," 27,870 "," 6,940 "," 310,640 "," 1,104,760 "
     Unemployed , 350 ," 1,595 ", 575 , 880 ," 1,380 "," 1,170 "," 1,870 ", 455 , 855 ," 1,180 ", 865 , 870 , 370 ," 1,690 ", 730 , 270 , 205 , 520 ," 1,085 ", 920 ," 1,670 ", 375 ," 19,840 "," 64,960 "
   Not in the labour force ," 6,450 "," 12,310 "," 6,270 "," 6,250 "," 6,885 "," 10,230 "," 11,885 "," 5,055 "," 8,675 "," 8,210 "," 7,345 "," 5,070 "," 5,460 "," 15,335 "," 5,790 "," 2,960 "," 1,630 "," 5,435 "," 10,445 "," 9,835 "," 12,660 "," 3,690 "," 167,350 "," 582,665 "
Participation rate,52.2,68.9,64,76.3,71.9,63.2,67.9,59.4,61.7,77.5,63.4,75.6,50,62.6,68.3,60.3,71.7,46.3,63.8,59.9,70,66.5,66.4,66.8
Employment rate,49.6,64.9,60.7,73,66.3,59,62.9,55.7,57.9,74.3,59.1,71.4,46.6,58.5,64.3,56.6,68.3,41.1,60,56.1,66,63.1,62.4,63
Unemployment rate,5,5.8,5.2,4.4,7.8,6.7,7.4,6.2,6.1,4.2,6.8,5.5,6.8,6.6,5.9,6,5,11.1,5.9,6.3,5.7,5.1,6,5.6
 Population 15 to 24 years - Labour force activity ," 2,460 "," 4,955 "," 3,205 "," 2,585 "," 3,170 "," 4,145 "," 5,705 "," 2,385 "," 3,770 "," 4,640 "," 3,515 "," 2,465 "," 2,020 "," 7,010 "," 2,520 "," 1,445 ", 790 , 890 ," 4,795 "," 4,420 "," 5,200 "," 1,885 "," 73,755 "," 285,070 "
   In the labour force ," 1,005 "," 2,945 "," 1,645 "," 1,825 "," 2,120 "," 2,320 "," 3,640 "," 1,020 "," 1,915 "," 3,305 "," 1,655 "," 1,700 ", 790 ," 3,690 "," 1,570 ", 640 , 435 , 525 ," 2,875 "," 2,230 "," 3,075 "," 1,105 "," 41,960 "," 174,390 "
     Employed , 870 ," 2,590 "," 1,400 "," 1,635 "," 1,880 "," 2,050 "," 3,175 ", 850 ," 1,675 "," 3,025 "," 1,415 "," 1,560 ", 660 ," 3,225 "," 1,360 ", 510 , 400 , 470 ," 2,525 "," 1,920 "," 2,810 ", 960 ," 36,890 "," 155,240 "
     Unemployed , 140 , 350 , 250 , 185 , 240 , 265 , 465 , 175 , 235 , 280 , 235 , 140 , 135 , 470 , 215 , 130 , 35 , 50 , 350 , 310 , 270 , 145 ," 5,065 "," 19,150 "
   Not in the labour force ," 1,450 "," 2,010 "," 1,555 ", 765 ," 1,050 "," 1,830 "," 2,065 "," 1,365 "," 1,855 "," 1,335 "," 1,855 ", 765 ," 1,230 "," 3,320 ", 950 , 800 , 355 , 370 ," 1,920 "," 2,195 "," 2,120 ", 775 ," 31,795 "," 110,680 "
Participation rate,40.9,59.4,51.3,70.6,66.9,56,63.8,42.8,50.8,71.2,47.1,69,39.1,52.6,62.3,44.3,55.1,59,60,50.5,59.1,58.6,56.9,61.2
Employment rate,35.4,52.3,43.7,63.2,59.3,49.5,55.7,35.6,44.4,65.2,40.3,63.3,32.7,46,54,35.3,50.6,52.8,52.7,43.4,54,50.9,50,54.5
Unemployment rate,13.9,11.9,15.2,10.1,11.3,11.4,12.8,17.2,12.3,8.5,14.2,8.2,17.1,12.7,13.7,20.3,8,9.5,12.2,13.9,8.8,13.1,12.1,11
 Population 25 years and over - Labour force activity ," 11,045 "," 34,675 "," 14,215 "," 23,840 "," 21,330 "," 23,640 "," 31,375 "," 10,060 "," 18,875 "," 31,910 "," 16,565 "," 18,310 "," 8,910 "," 34,040 "," 15,740 "," 6,010 "," 4,965 "," 9,225 "," 24,020 "," 20,090 "," 37,000 "," 9,120 "," 424,070 "," 1,467,315 "
   In the labour force ," 6,045 "," 24,380 "," 9,500 "," 18,350 "," 15,495 "," 15,235 "," 21,550 "," 6,370 "," 12,060 "," 25,035 "," 11,075 "," 14,005 "," 4,680 "," 22,020 "," 10,905 "," 3,850 "," 3,685 "," 4,155 "," 15,495 "," 12,450 "," 26,460 "," 6,210 "," 288,520 "," 995,325 "
     Employed ," 5,835 "," 23,140 "," 9,170 "," 17,660 "," 14,360 "," 14,330 "," 20,150 "," 6,090 "," 11,445 "," 24,135 "," 10,445 "," 13,270 "," 4,435 "," 20,795 "," 10,385 "," 3,710 "," 3,515 "," 3,690 "," 14,765 "," 11,835 "," 25,060 "," 5,975 "," 273,750 "," 949,520 "
     Unemployed , 215 ," 1,240 ", 330 , 690 ," 1,140 ", 905 ," 1,405 ", 285 , 615 , 895 , 625 , 730 , 240 ," 1,225 ", 520 , 145 , 170 , 470 , 730 , 610 ," 1,400 ", 235 ," 14,770 "," 45,810 "
   Not in the labour force ," 5,000 "," 10,295 "," 4,715 "," 5,485 "," 5,835 "," 8,400 "," 9,825 "," 3,690 "," 6,820 "," 6,870 "," 5,490 "," 4,305 "," 4,235 "," 12,015 "," 4,840 "," 2,160 "," 1,275 "," 5,065 "," 8,525 "," 7,640 "," 10,535 "," 2,910 "," 135,550 "," 471,985 "
Participation rate,54.7,70.3,66.8,77,72.6,64.4,68.7,63.3,63.9,78.5,66.9,76.5,52.5,64.7,69.3,64.1,74.2,45,64.5,62,71.5,68.1,68,67.8
Employment rate,52.8,66.7,64.5,74.1,67.3,60.6,64.2,60.5,60.6,75.6,63.1,72.5,49.8,61.1,66,61.7,70.8,40,61.5,58.9,67.7,65.5,64.6,64.7
Unemployment rate,3.6,5.1,3.5,3.8,7.4,5.9,6.5,4.5,5.1,3.6,5.6,5.2,5.1,5.6,4.8,3.8,4.6,11.3,4.7,4.9,5.3,3.8,5.1,4.6
 Males 15 years and over - Labour force activity ," 6,035 "," 22,145 "," 8,495 "," 11,600 "," 11,950 "," 13,395 "," 17,890 "," 5,700 "," 10,655 "," 16,980 "," 9,595 "," 10,180 "," 5,015 "," 19,775 "," 8,625 "," 3,510 "," 2,700 "," 5,550 "," 13,905 "," 11,545 "," 22,010 "," 5,220 "," 241,925 "," 846,865 "
   In the labour force ," 3,625 "," 15,790 "," 5,925 "," 9,275 "," 8,860 "," 8,930 "," 12,830 "," 3,820 "," 7,105 "," 13,735 "," 6,560 "," 7,995 "," 2,790 "," 13,250 "," 6,275 "," 2,420 "," 2,060 "," 2,755 "," 9,655 "," 7,530 "," 16,255 "," 3,740 "," 170,850 "," 609,640 "
     Employed ," 3,475 "," 14,845 "," 5,620 "," 8,870 "," 8,180 "," 8,380 "," 11,895 "," 3,565 "," 6,690 "," 13,225 "," 6,105 "," 7,560 "," 2,615 "," 12,470 "," 5,900 "," 2,255 "," 1,995 "," 2,395 "," 9,155 "," 7,090 "," 15,445 "," 3,555 "," 160,990 "," 578,780 "
     Unemployed , 150 , 945 , 305 , 410 , 680 , 550 , 940 , 255 , 415 , 510 , 455 , 425 , 175 , 780 , 370 , 160 , 70 , 365 , 500 , 440 , 810 , 185 ," 9,860 "," 30,860 "
   Not in the labour force ," 2,410 "," 6,350 "," 2,565 "," 2,320 "," 3,090 "," 4,465 "," 5,060 "," 1,880 "," 3,550 "," 3,245 "," 3,035 "," 2,190 "," 2,220 "," 6,525 "," 2,350 "," 1,090 ", 635 ," 2,790 "," 4,245 "," 4,020 "," 5,755 "," 1,480 "," 71,075 "," 237,225 "
Participation rate,60.1,71.3,69.7,80,74.1,66.7,71.7,67,66.7,80.9,68.4,78.5,55.6,67,72.8,68.9,76.3,49.6,69.4,65.2,73.9,71.6,70.6,72
Employment rate,57.6,67,66.2,76.5,68.5,62.6,66.5,62.5,62.8,77.9,63.6,74.3,52.1,63.1,68.4,64.2,73.9,43.2,65.8,61.4,70.2,68.1,66.5,68.3
Unemployment rate,4.1,6,5.1,4.4,7.7,6.2,7.3,6.7,5.8,3.7,6.9,5.3,6.3,5.9,5.9,6.6,3.4,13.2,5.2,5.8,5,4.9,5.8,5.1
 Males 15 to 24 years - Labour force activity ," 1,280 "," 2,385 "," 1,770 "," 1,150 "," 1,445 "," 2,100 "," 2,810 "," 1,250 "," 1,970 "," 2,145 "," 1,815 "," 1,235 "," 1,020 "," 3,540 "," 1,240 ", 725 , 400 , 455 ," 2,350 "," 2,215 "," 2,510 ", 995 ," 36,705 "," 144,910 "
   In the labour force , 520 ," 1,430 ", 905 , 765 , 965 ," 1,135 "," 1,745 ", 615 ," 1,010 "," 1,435 ", 905 , 835 , 360 ," 1,810 ", 770 , 310 , 200 , 265 ," 1,330 "," 1,060 "," 1,455 ", 530 ," 20,315 "," 87,355 "
     Employed , 460 ," 1,275 ", 755 , 665 , 825 , 975 ," 1,515 ", 480 , 880 ," 1,290 ", 750 , 775 , 300 ," 1,570 ", 635 , 240 , 175 , 250 ," 1,180 ", 890 ," 1,310 ", 460 ," 17,625 "," 77,415 "
     Unemployed , 60 , 155 , 145 , 100 , 140 , 160 , 230 , 130 , 130 , 150 , 160 , 60 , 65 , 235 , 135 , 70 , 20 , 10 , 155 , 170 , 145 , 70 ," 2,695 "," 9,940 "
   Not in the labour force , 760 , 955 , 865 , 385 , 475 , 965 ," 1,065 ", 640 , 960 , 710 , 905 , 395 , 665 ," 1,730 ", 470 , 415 , 200 , 190 ," 1,020 "," 1,160 "," 1,050 ", 460 ," 16,385 "," 57,555 "
Participation rate,40.6,60,51.1,66.5,66.8,54,62.1,49.2,51.3,66.9,49.9,67.6,35.3,51.1,62.1,42.8,50,58.2,56.6,47.9,58,53.3,55.3,60.3
Employment rate,35.9,53.5,42.7,57.8,57.1,46.4,53.9,38.4,44.7,60.1,41.3,62.8,29.4,44.4,51.2,33.1,43.8,54.9,50.2,40.2,52.2,46.2,48,53.4
Unemployment rate,11.5,10.8,16,13.1,14.5,14.1,13.2,21.1,12.9,10.5,17.7,7.2,18.1,13,17.5,22.6,10,3.8,11.7,16,10,13.2,13.3,11.4
 Males 25 years and over - Labour force activity ," 4,755 "," 19,760 "," 6,725 "," 10,450 "," 10,505 "," 11,300 "," 15,085 "," 4,455 "," 8,685 "," 14,830 "," 7,780 "," 8,950 "," 3,995 "," 16,235 "," 7,380 "," 2,785 "," 2,295 "," 5,090 "," 11,555 "," 9,330 "," 19,505 "," 4,230 "," 205,225 "," 701,960 "
   In the labour force ," 3,105 "," 14,360 "," 5,020 "," 8,510 "," 7,895 "," 7,800 "," 11,085 "," 3,205 "," 6,095 "," 12,300 "," 5,655 "," 7,155 "," 2,430 "," 11,440 "," 5,500 "," 2,110 "," 1,865 "," 2,495 "," 8,330 "," 6,465 "," 14,800 "," 3,205 "," 150,540 "," 522,280 "
     Employed ," 3,015 "," 13,570 "," 4,860 "," 8,205 "," 7,355 "," 7,405 "," 10,385 "," 3,085 "," 5,815 "," 11,940 "," 5,355 "," 6,790 "," 2,315 "," 10,895 "," 5,265 "," 2,015 "," 1,815 "," 2,145 "," 7,980 "," 6,195 "," 14,140 "," 3,095 "," 143,370 "," 501,360 "
     Unemployed , 90 , 790 , 160 , 310 , 545 , 390 , 700 , 120 , 280 , 360 , 295 , 365 , 115 , 545 , 235 , 95 , 45 , 355 , 345 , 270 , 665 , 110 ," 7,170 "," 20,915 "
   Not in the labour force ," 1,650 "," 5,400 "," 1,700 "," 1,940 "," 2,615 "," 3,500 "," 4,000 "," 1,245 "," 2,590 "," 2,530 "," 2,130 "," 1,795 "," 1,560 "," 4,795 "," 1,880 ", 675 , 430 ," 2,600 "," 3,225 "," 2,865 "," 4,700 "," 1,020 "," 54,685 "," 179,675 "
Participation rate,65.3,72.7,74.6,81.4,75.2,69,73.5,71.9,70.2,82.9,72.7,79.9,60.8,70.5,74.5,75.8,81.3,49,72.1,69.3,75.9,75.8,73.4,74.4
Employment rate,63.4,68.7,72.3,78.5,70,65.5,68.8,69.2,67,80.5,68.8,75.9,57.9,67.1,71.3,72.4,79.1,42.1,69.1,66.4,72.5,73.2,69.9,71.4
Unemployment rate,2.9,5.5,3.2,3.6,6.9,5,6.3,3.7,4.6,2.9,5.2,5.1,4.7,4.8,4.3,4.5,2.4,14.2,4.1,4.2,4.5,3.4,4.8,4
 Females 15 years and over - Labour force activity ," 7,475 "," 17,485 "," 8,930 "," 14,830 "," 12,550 "," 14,385 "," 19,185 "," 6,745 "," 11,990 "," 19,570 "," 10,485 "," 10,595 "," 5,915 "," 21,270 "," 9,635 "," 3,945 "," 3,055 "," 4,570 "," 14,910 "," 12,965 "," 20,185 "," 5,780 "," 255,905 "," 905,520 "
   In the labour force ," 3,435 "," 11,530 "," 5,225 "," 10,895 "," 8,760 "," 8,625 "," 12,360 "," 3,570 "," 6,865 "," 14,605 "," 6,170 "," 7,715 "," 2,680 "," 12,460 "," 6,205 "," 2,070 "," 2,060 "," 1,925 "," 8,715 "," 7,150 "," 13,280 "," 3,575 "," 159,625 "," 560,080 "
     Employed ," 3,230 "," 10,880 "," 4,955 "," 10,425 "," 8,055 "," 8,005 "," 11,430 "," 3,365 "," 6,430 "," 13,930 "," 5,760 "," 7,270 "," 2,480 "," 11,550 "," 5,845 "," 1,965 "," 1,930 "," 1,770 "," 8,130 "," 6,665 "," 12,420 "," 3,380 "," 149,650 "," 525,980 "
     Unemployed , 205 , 650 , 270 , 475 , 705 , 620 , 930 , 205 , 440 , 675 , 410 , 445 , 195 , 910 , 360 , 105 , 130 , 160 , 585 , 485 , 860 , 190 ," 9,975 "," 34,100 "
   Not in the labour force ," 4,040 "," 5,950 "," 3,705 "," 3,930 "," 3,790 "," 5,765 "," 6,825 "," 3,170 "," 5,125 "," 4,965 "," 4,310 "," 2,875 "," 3,240 "," 8,810 "," 3,430 "," 1,875 ", 995 ," 2,640 "," 6,195 "," 5,815 "," 6,905 "," 2,205 "," 96,275 "," 345,440 "
